,time: 00-C1_50kHz-ND1-2.03uW-300s_0.25ns.dat,density: 00-C1_50kHz-ND1-2.03uW-300s_0.25ns.dat,qfls: 00-C1_50kHz-ND1-2.03uW-300s_0.25ns.dat,tau_diff: 00-C1_50kHz-ND1-2.03uW-300s_0.25ns.dat,time: 01-C2_50kHz-ND1-2.03uW-300s_0.25ns.dat,density: 01-C2_50kHz-ND1-2.03uW-300s_0.25ns.dat,qfls: 01-C2_50kHz-ND1-2.03uW-300s_0.25ns.dat,tau_diff: 01-C2_50kHz-ND1-2.03uW-300s_0.25ns.dat,time: 02-EA1_50kHz-ND1-2.03uW-300s_0.25ns.dat,density: 02-EA1_50kHz-ND1-2.03uW-300s_0.25ns.dat,qfls: 02-EA1_50kHz-ND1-2.03uW-300s_0.25ns.dat,tau_diff: 02-EA1_50kHz-ND1-2.03uW-300s_0.25ns.dat,time: 03-EA2_50kHz-ND1-2.03uW-300s_0.25ns.dat,density: 03-EA2_50kHz-ND1-2.03uW-300s_0.25ns.dat,qfls: 03-EA2_50kHz-ND1-2.03uW-300s_0.25ns.dat,tau_diff: 03-EA2_50kHz-ND1-2.03uW-300s_0.25ns.dat
17,4.500000000000001e-09,1139933492393149.0,1.0061657373480681,3.825708013649676e-08,4.500000000000001e-09,1171720415015768.5,1.0076894139775054,4.562306186134374e-08,4.500000000000001e-09,1152434176716692.8,1.006769955236564,3.9407728615380226e-08,4.500000000000001e-09,1097211342414095.6,1.0040495624379215,3.2566544802211785e-08
18,4.75e-09,1132508611791069.0,1.0058037128561157,3.899953836705528e-08,4.75e-09,1165317315936649.5,1.0073858394378987,4.6261703160679876e-08,4.75e-09,1145146352398125.2,1.0064185013343316,3.9959776071021764e-08,4.75e-09,1088820747984697.0,1.0036242793726127,3.331371386747121e-08
19,5e-09,1125272074356100.4,1.0054485804473767,3.975379481398134e-08,5e-09,1159036882061057.5,1.0070864557348844,4.691224454433038e-08,5e-09,1138004347745079.5,1.0060719027954563,4.0522286181295394e-08,5e-09,1080680365690318.1,1.003208534671944,3.405042045205178e-08
20,5.250000000000001e-09,1118217771544689.8,1.0051001860345965,4.051966414974638e-08,5.250000000000001e-09,1152876688380495.5,1.0067912236449572,4.7574806053524494e-08,5.250000000000001e-09,1131005105875532.0,1.0057301155641527,4.1095374047971756e-08,5.250000000000001e-09,1072775009189912.0,1.0028017849221278,3.477655320489167e-08
21,5.5000000000000004e-09,1111339782400260.5,1.004758376686207,4.129694791027778e-08,5.5000000000000004e-09,1146834347028491.8,1.006500103172823,4.824950464777123e-08,5.5000000000000004e-09,1124145624038094.1,1.0053930946628749,4.1679152629999496e-08,5.5000000000000004e-09,1065090749412537.0,1.002403528087461,3.5492129542556706e-08
22,5.75e-09,1104632369695536.5,1.0044230008121813,4.208543504822473e-08,5.75e-09,1140907507072872.5,1.006213053593742,4.893645400511964e-08,5.75e-09,1117422953005498.9,1.0050607942410559,4.2273732590228154e-08,5.75e-09,1057614807535463.6,1.002013300727804,3.619728329523947e-08
23,6.000000000000001e-09,1098089976032758.2,1.0040939083367408,4.2884902544718185e-08,6.000000000000001e-09,1135093854302033.0,1.0059300334959116,4.963576431986337e-08,6.000000000000001e-09,1110834196469206.4,1.004733167623973,4.287922213998051e-08,6.000000000000001e-09,1050335456390917.6,1.0016306753277973,3.6892251977470463e-08
24,6.2500000000000005e-09,1091707219909487.9,1.0037709508580441,4.3695116076801965e-08,6.2500000000000005e-09,1129391111004989.5,1.0056510008228021,5.0347542098074684e-08,6.2500000000000005e-09,1104376510434805.6,1.0044101673616366,4.349572688161902e-08,6.2500000000000005e-09,1043241929761326.4,1.0012552577466625,3.757736401803352e-08
25,6.5e-09,1085478891757630.2,1.0034539817950565,4.45158307367806e-08,6.5e-09,1123797035745038.0,1.0053759129153723,5.1071889951260295e-08,6.5e-09,1098047102617908.4,1.0040917452776075,4.4123349649447834e-08,6.5e-09,1036324339036303.2,1.00088668479425,3.825302623005835e-08
26,6.75e-09,1079399949963149.5,1.0031428565218499,4.534679179956735e-08,6.75e-09,1118309423126872.0,1.005104726554084,5.18089063884072e-08,6.75e-09,1091843231840288.2,1.0037778525176508,4.4762190348950054e-08,6.75e-09,1029573596721921.1,1.0005246219363546,3.89197117486803e-08
27,7.000000000000001e-09,1073465516873780.9,1.0028374324896223,4.618773553363344e-08,7.000000000000001e-09,1112926103557040.9,1.0048373980006462,5.2558685606926605e-08,7.000000000000001e-09,1085762207426040.5,1.0034684395981304,4.5412345794817744e-08,7.000000000000001e-09,1022981346313046.8,1.0001687611301535,3.957794861190142e-08
28,7.25e-09,1067670874801852.5,1.002537569336775,4.7038390050740595e-08,7.25e-09,1107644942997666.4,1.0045738830394166,5.3321317282760016e-08,7.25e-09,1079801388597584.2,1.0031634564540626,4.607390954778757e-08,7.25e-09,1016539898061823.8,0.9998188187888812,4.022830911255314e-08
29,7.500000000000001e-09,1062011462029059.6,1.0022431289874123,4.7898476189317504e-08,7.500000000000001e-09,1102463842713361.6,1.0043141370183917,5.40968863600505e-08,7.500000000000001e-09,1073958183871354.5,1.0028628524867427,4.674697175072342e-08,7.500000000000001e-09,1010242170199051.1,0.999474533873469,4.08714000064246e-08
30,7.75e-09,1056482868819800.5,1.0019539757386688,4.876770842617972e-08,7.75e-09,1097380739011326.8,1.0040581148897276,5.488547284086661e-08,7.75e-09,1068230050453079.9,1.0025665766108667,4.743161896406665e-08,7.75e-09,1004081635189635.5,0.9991356661077985,4.1507853624685594e-08
31,8e-09,1051080833449372.6,1.001669976337283,4.9645795810914944e-08,8e-09,1092393602974621.4,1.0038057712497237,5.568715157535663e-08,8e-09,1062614493632550.4,1.002274577301071,4.812793400095914e-08,8e-09,998052270628017.9,0.9988019943134139,4.213831990737879e-08
32,8.250000000000001e-09,1045801238253039.0,1.0013910000458612,5.0532442917203976e-08,8.250000000000001e-09,1087500440188644.5,1.0035570603782176,5.6501992052853264e-08,8.250000000000001e-09,1057109066177838.9,1.0019868026378218,4.8835995762387386e-08,8.250000000000001e-09,992148514404068.1,0.9984733148589306,4.276345934972828e-08
33,8.5e-09,1040640105701648.5,1.0011169186992956,5.142735080521836e-08,8.5e-09,1082699290460873.8,1.0033119362773355,5.733005819426567e-08,8.5e-09,1051711367728944.0,1.0017032003525856,4.9555879072562786e-08,8.5e-09,986365223794147.5,0.9981494402189784,4.338393683275183e-08
34,8.75e-09,1035593594509164.5,1.0008476067517982,5.233021798913495e-08,8.75e-09,1077988227533941.9,1.0030703527095486,5.817140814640537e-08,8.75e-09,1046419044190865.6,1.0014237178722178,5.028765451482403e-08,8.75e-09,980697638155565.4,0.9978301976372508,4.4000416295151526e-08
35,9.000000000000001e-09,1030657995777123.1,1.000582941315035,5.324074140398525e-08,9.000000000000001e-09,1073365358792154.0,1.0028322632349884,5.902609407867705e-08,9.000000000000001e-09,1041229787126145.2,1.0011483023625143,5.103138826845695e-08,9.000000000000001e-09,975141344925370.0,0.9975154278880944,4.461355619260631e-08
36,9.25e-09,1025829729180703.1,1.000322802187841,5.4158617365893936e-08,9.25e-09,1068828824961564.0,1.0025976212479795,5.989416198259724e-08,9.25e-09,1036141333146925.0,1.0008769007708676,5.1787141946703884e-08,9.25e-09,969692248646162.8,0.9972049841310399,4.5224005683835685e-08
37,9.5e-09,1021105339200740.9,1.0000670718779914,5.508354252016306e-08,9.5e-09,1064376799803755.6,1.0023663800127482,6.077565147476642e-08,9.5e-09,1031151463306609.6,1.0006094598679838,5.2554972436269747e-08,9.5e-09,964346542762318.8,0.9968987308527074,4.58324014791063e-08
38,9.750000000000001e-09,1016481491405685.6,0.9998156356165175,5.601521477153107e-08,9.750000000000001e-09,1060007489803492.4,1.002138492698274,6.167059560378701e-08,9.750000000000001e-09,1026258002491228.2,1.0003459262886103,5.333493173867244e-08,9.750000000000001e-09,959100683949608.1,0.9965965428906318,4.643936528554658e-08
39,1e-08,1011954968787157.8,0.9995683813650346,5.695333419163329e-08,1e-08,1055719133850409.0,1.0019139124122496,6.257902066163574e-08,1e-08,1021458818810618.5,1.0000862465712375,5.4127066813838725e-08,1e-08,953951368759676.1,0.9962983045336941,4.704550178427715e-08
40,1.025e-08,1007522668152428.8,0.9993251998165514,5.7897603898321066e-08,1.025e-08,1051510002914948.0,1.00169259223412,6.350094600017021e-08,1.025e-08,1016751822989570.9,0.9998303671967347,5.493141942621697e-08,1.025e-08,948895512378182.9,0.9960039086940341,4.765139707666832e-08
41,1.0500000000000001e-08,1003181596576824.1,0.9990859843902218,5.884773090258143e-08,1.0500000000000001e-08,1047378399718745.9,1.001474485247179,6.443638385309939e-08,1.0500000000000001e-08,1012134967759089.5,0.9995782346258913,5.574802599377017e-08,1.0500000000000001e-08,943930229311630.8,0.9957132561455323,4.825761754005256e-08
42,1.075e-08,998928867918730.0,0.9988506312204805,5.980342691850688e-08,1.075e-08,1043322658399698.0,1.0012595445696952,6.538533916437067e-08,1.075e-08,1007606247247936.1,0.9993297953358338,5.657691744026721e-08,1.075e-08,939052815833023.2,0.9954262548241659,4.886470903749025e-08
43,1.1000000000000001e-08,994761699399573.1,0.998619039141002,6.07644091325301e-08,1.1000000000000001e-08,1039341144171934.0,1.0010477233850534,6.63478094230182e-08,1.1000000000000001e-08,1003163696374642.4,0.9990849958552926,5.7418119051194096e-08,1.1000000000000001e-08,934260734030575.4,0.9951428191857917,4.947319643013373e-08
44,1.1250000000000001e-08,990677408250851.1,0.9983911096638998,6.173040092847912e-08,1.1250000000000001e-08,1035432252980954.5,1.0008389749708941,6.732378450562316e-08,1.1250000000000001e-08,998805390240183.4,0.9988437827987026,5.8271650333614966e-08,1.1250000000000001e-08,929551597316734.5,0.994862869617149,5.008358334574969e-08
45,1.15e-08,986673408430000.2,0.9981667469545753,6.270113256542083e-08,1.15e-08,1031594411154185.0,1.0006332527272368,6.831324652640476e-08,1.15e-08,994529443521518.1,0.9986061028991166,5.9137524880447216e-08,1.15e-08,924923157266862.2,0.994586331896108,5.069635216128295e-08
46,1.1750000000000001e-08,982747207406614.8,0.9979458578026043,6.367634180564586e-08,1.1750000000000001e-08,1027826075047211.2,1.0004305102035793,6.931616969595548e-08,1.1750000000000001e-08,990334009866206.5,0.9983719030399238,6.00157502393743e-08,1.1750000000000001e-08,920373291668073.1,0.9943131366974487,5.131196416199092e-08
47,1.2000000000000002e-08,978896403020274.1,0.9977283515890365,6.465577449083875e-08,1.2000000000000002e-08,1024125730685969.8,1.0002307011249651,7.033252018888173e-08,1.2000000000000002e-08,986217281288327.4,0.9981411302853594,6.090632778694997e-08,1.2000000000000002e-08,915899993669029.5,0.9940432191406724,5.193085984409413e-08
48,1.225e-08,975118680410982.9,0.9975141402504658,6.563918506453979e-08,1.225e-08,1020491893405170.2,1.0000337794170155,7.136225602101481e-08,1.225e-08,982177487565919.6,0.9979137319098006,6.180925260807005e-08,1.225e-08,911501361930959.0,0.9937765183765876,5.255345933172114e-08
49,1.2500000000000001e-08,971411809022992.4,0.9973031382402125,6.662633704001195e-08,1.2500000000000001e-08,1016923107483235.4,0.9998396992299217,7.240532693674183e-08,1.2500000000000001e-08,978212895640178.8,0.9976896554258504,6.272451338124521e-08,1.2500000000000001e-08,907175591688883.0,0.9935129772096288,5.3180162883017483e-08
50,1.275e-08,967773639682560.6,0.9970952624869398,6.761700341244779e-08,1.275e-08,1013417945774041.0,0.9996484149614024,7.34616743069281e-08,1.275e-08,974321809016642.5,0.9974688486112036,6.365209227016424e-08,1.275e-08,902920966640036.4,0.9932525417530759,5.381135146354362e-08
51,1.3e-08,964202101749989.6,0.996890432351012,6.861096701553264e-08,1.3e-08,1009975009335749.4,0.9994598812786261,7.453123103799698e-08,1.3e-08,970502567168599.0,0.9972512595343007,6.459196482158253e-08,1.3e-08,898735851583808.0,0.9929951611145431,5.444738736828598e-08
52,1.3250000000000001e-08,960695200346094.5,0.9966885695788861,6.960802082202612e-08,1.3250000000000001e-08,1006592927057025.1,0.999274053139105,7.561392149255638e-08,1.3250000000000001e-08,966753544942958.4,0.997036836578779,6.554409987027393e-08,1.3250000000000001e-08,894618685744249.5,0.992740787109298,5.5088614876501826e-08
53,1.35e-08,957251013653070.0,0.9964895982558051,7.060796818938852e-08,1.35e-08,1003270355280924.0,0.999090885810568,7.670966142217327e-08,1.35e-08,963073151968819.1,0.9968255284667228,6.65084594510043e-08,1.35e-08,890567976712362.8,0.9924893739991474,5.5735360926017107e-08
54,1.375e-08,953867690289561.1,0.9962934447570548,7.16106230509146e-08,1.375e-08,1000005977426746.5,0.9989103348898205,7.781835791265083e-08,1.375e-08,959459832068969.1,0.99661728428073,6.74849987181243e-08,1.375e-08,886582294950999.8,0.992240878254796,5.6387935795920846e-08
55,1.4000000000000001e-08,950543446759583.5,0.996100037698019,7.261581005362967e-08,1.4000000000000001e-08,996798503610148.5,0.998732356320605,7.89399093421855e-08,1.4000000000000001e-08,955912062674551.1,0.9964120534848039,6.84736658730043e-08,1.4000000000000001e-08,882660268810364.5,0.9919952583397467,5.704663378843361e-08
56,1.425e-08,947276564974802.4,0.9959093078832615,7.362336464472847e-08,1.425e-08,993646670261792.1,0.9985569064104718,8.007420535294417e-08,1.425e-08,952428354243125.8,0.996209785944087,6.947440209952712e-08,1.425e-08,878800580006799.1,0.9917524745139497,5.771173390264565e-08
57,1.45e-08,944065389849541.9,0.9957211882548415,7.463313310797831e-08,1.45e-08,990549239744825.2,0.9983839418466781,8.122112683630763e-08,1.45e-08,949007249680357.2,0.996010431943456,7.048714150805987e-08,1.45e-08,875001959521831.5,0.9915124886555562,5.838350049394938e-08
58,1.4750000000000001e-08,940908326967790.4,0.9955356138400575,7.564497255241865e-08,1.4750000000000001e-08,987504999971472.5,0.998213419711127,8.23805459319935e-08,1.4750000000000001e-08,945647323765544.2,0.9958139422049919,7.151181108818712e-08,1.4750000000000001e-08,871263183882370.6,0.9912752640992547,5.90621839146101e-08
59,1.5000000000000002e-08,937803840321340.9,0.9953525216988,7.665875085539973e-08,1.5000000000000002e-08,984512764019010.6,0.9980452974943668,8.355232604166868e-08,1.5000000000000002e-08,942347182581213.9,0.995620267904352,7.254833067023657e-08,1.5000000000000002e-08,867583071786510.1,0.9910407654897887,5.974802113182188e-08
60,1.525e-08,934750450118131.6,0.9951718508706758,7.767434656265906e-08,1.525e-08,981571369745406.4,0.9978795331086682,8.473632185697065e-08,1.525e-08,939105462946987.2,0.9954293606860597,7.359661289615698e-08,1.525e-08,863960481042642.8,0.9908089586493674,6.044123632042616e-08
61,1.55e-08,931746730659747.8,0.9949935423220636,7.86916487475805e-08,1.55e-08,978679679404880.0,0.9977160849001965,8.593237940238437e-08,1.55e-08,935920831857927.4,0.99524117267774,7.465656319973687e-08,1.55e-08,860394305792555.9,0.9905798104577821,6.11420414285305e-08
62,1.5750000000000002e-08,928791308286974.6,0.9948175388932318,7.9710556832888e-08,1.5750000000000002e-08,975836579263660.4,0.9975549116603034,8.714033609284143e-08,1.5750000000000002e-08,932791985927560.2,0.9950556565033222,7.572807979650372e-08,1.5750000000000002e-08,856883473991874.0,0.9903532887441394,6.185063671460135e-08
63,1.6e-08,925882859392228.4,0.9946437852456562,8.073098037702582e-08,1.6e-08,973040979216182.4,0.9973959726359548,8.836002080677984e-08,1.6e-08,929717650835765.9,0.9948727652952364,7.681105368330376e-08,1.6e-08,853426945123662.1,0.9901293621892051,6.256721125544317e-08
64,1.625e-08,923020108497621.9,0.9944722278096468,8.175283882851935e-08,1.625e-08,970291812401981.0,0.9972392275393201,8.959125397378078e-08,1.625e-08,926696580781720.8,0.9946924527056303,7.790536864799055e-08,1.625e-08,850023708123243.9,0.98990800023744,6.329194342460575e-08
65,1.6500000000000002e-08,920201826397385.0,0.994302814732395,8.27760612507477e-08,1.6500000000000002e-08,967588034823517.5,0.9970846365565434,9.083384767791381e-08,1.6500000000000002e-08,923727557942065.6,0.9945146729166331,7.901090128915885e-08,1.6500000000000002e-08,846672779494311.8,0.9896891730178825,6.402500134143421e-08
66,1.675e-08,917426828363300.2,0.9941354958265337,8.380058602040442e-08,1.675e-08,964928624965179.9,0.9969321603557212,9.208760577581828e-08,1.675e-08,920809391934470.0,0.9943393806496924,8.01275210459903e-08,1.675e-08,843373201598255.5,0.9894728512730983,6.476654329107841e-08
67,1.7e-08,914693972411791.5,0.9939702225192966,8.482636050230607e-08,1.7e-08,962312583413675.6,0.9967817600941082,9.335232403021607e-08,1.7e-08,917940919286746.0,0.9941665311740167,8.125509023859618e-08,1.7e-08,840124041100314.9,0.9892590062954875,6.551671811611946e-08
68,1.7250000000000002e-08,912002157631267.5,0.9938069478023572,8.585334070317055e-08,1.7250000000000002e-08,959738932480044.1,0.9966333974245777,9.462779025816786e-08,1.7250000000000002e-08,915121002911667.5,0.9939960803141465,8.239346411851996e-08,1.7250000000000002e-08,836924387557683.0,0.9890476098702963,6.627566558051479e-08
69,1.75e-08,909350322568293.2,0.9936456261824115,8.688149090763793e-08,1.75e-08,957206715823494.5,0.996487034501358,9.591378449425992e-08,1.75e-08,912348531587634.1,0.9938279844566876,8.354249092981313e-08,1.75e-08,833773352136075.8,0.9888386342247304,6.704351670690423e-08
70,1.775e-08,906737443671157.9,0.9934862136325655,8.791078329864744e-08,1.775e-08,954714998077271.5,0.9963426339850711,9.721007916848853e-08,1.775e-08,909622419445310.8,0.9936622005562336,8.470201198037534e-08,1.775e-08,830670066442538.2,0.9886320519826242,6.782039408830033e-08
71,1.8000000000000002e-08,904162533789382.0,0.9933286675445849,8.894119756499912e-08,1.8000000000000002e-08,952262864476748.1,0.9962001590470969,9.851643929834709e-08,1.8000000000000002e-08,906941605460368.1,0.9934986861405051,8.587186172383517e-08,1.8000000000000002e-08,827613681463407.5,0.9884278361241619,6.860641217527473e-08
72,1.825e-08,901624640727705.4,0.9931729466820469,8.997272049877473e-08,1.825e-08,949849420489926.1,0.9960595733732881,9.983262269521738e-08,1.825e-08,904305052952440.4,0.9933373993147397,8.70518678516789e-08,1.825e-08,824603366597377.6,0.9882259599501882,6.940167753977596e-08
73,1.85e-08,899122845853091.2,0.9930190111344361,9.100534558455364e-08,1.85e-08,947473791450524.0,0.9959208411670604,1.0115838018425546e-07,1.85e-08,901711749090402.0,0.9931782987653569,8.824185139566057e-08,1.85e-08,821638308774571.9,0.9880263970506883,7.020628911695355e-08
74,1.8750000000000002e-08,896656262753287.9,0.9928668222722211,9.203907258302119e-08,1.8750000000000002e-08,945135122193822.1,0.9957839271518817,1.024934558376606e-07,1.8750000000000002e-08,899160704404064.0,0.9930213437629294,8.944162684053277e-08,1.8750000000000002e-08,818717711653363.0,0.9878291212770475,7.102033842591896e-08
75,1.9e-08,894224035945484.1,0.9927163427029327,9.307390711093091e-08,1.9e-08,942832576695422.6,0.9956487965731847,1.0383758722100537e-07,1.9e-08,896650952302377.0,0.9928664941644902,9.065100224668879e-08,1.9e-08,815840794887473.8,0.98763410671774,7.184390977110784e-08
76,1.925e-08,891825339633612.4,0.9925675362282728,9.410986021944929e-08,1.925e-08,940565337713080.0,0.9955154151997277,1.0519050565159855e-07,1.925e-08,894181548598219.8,0.992713710415202,9.186977938278756e-08,1.925e-08,813006793456587.9,0.9874413276771208,7.267708042496524e-08
77,1.9500000000000003e-08,889459376512858.1,0.9924203678022683,9.514694797259035e-08,1.9500000000000003e-08,938332606431741.6,0.9953837493244264,1.0655193646905936e-07,1.9500000000000003e-08,891751571039843.8,0.9925629535494181,9.309775386808364e-08,1.9500000000000003e-08,810214957054338.6,0.9872507586570252,7.35199207935799e-08
78,1.975e-08,887125376619948.4,0.992274803490484,9.618519102783018e-08,1.975e-08,936133602111935.9,0.9952537657646813,1.0792159931687669e-07,1.975e-08,889360118849038.9,0.9924141851911652,9.433471532439704e-08,1.975e-08,807464549528126.6,0.9870623743409036,7.437249456618563e-08
79,2e-08,884822596227813.0,0.992130810430305,9.722461421988327e-08,2e-08,933967561741634.4,0.9951254318622218,1.0929920843485432e-07,2e-08,887006312266071.4,0.9922673675540696,9.558044753708897e-08,2e-08,804754848365742.5,0.9868761495802473,7.523485884978281e-08
80,2.0250000000000003e-08,882550316783221.9,0.9919883567922925,9.826524614963652e-08,2.0250000000000003e-08,931833739691704.6,0.9949987154824939,1.1068447296139848e-07,2.0250000000000003e-08,884689292101441.5,0.992122463440761,9.683472862547777e-08,2.0250000000000003e-08,802085144224243.0,0.9866920593830736,7.610706429004175e-08
81,2.05e-08,880307843886031.2,0.9918474117426163,9.93071187792503e-08,2.05e-08,929731407375067.9,0.9948735850136082,1.1207709724524817e-07,2.05e-08,882408219294499.6,0.9919794362417738,9.809733122163494e-08,2.05e-08,799454740496969.6,0.9865100789042679,7.698915517938949e-08
82,2.075e-08,878094506308685.6,0.9917079454065644,1.0035026703460022e-07,2.075e-08,927659852909659.4,0.9947500093648771,1.1347678116566808e-07,2.075e-08,880162274478949.5,0.9918382499339761,9.93680226579225e-08,2.075e-08,796862952914983.8,0.9863301834375917,7.788116955355169e-08
83,2.1000000000000003e-08,875909655054650.8,0.9915699288331234,1.0139472841627831e-07,2.1000000000000003e-08,925618380785290.5,0.9946279579649542,1.1488322046071011e-07,2.1000000000000003e-08,877950657555265.1,0.9916988690785504,1.0064656516234041e-07,2.1000000000000003e-08,794309109179550.6,0.9861523484091839,7.878313927741683e-08
